"query","search interest","increase percent"
"best colleges for computer science",2,"Breakout"
"kids science experiments at home",2,"Breakout"
"genomic data science",9,"450%"
"data science projects",100,"450%"
"ibm data science professional certificate",3,"250%"
"r for data science",9,"110%"
"data science unipd",13,"70%"
"machine learning",28,"60%"
"data science cos'è",6,"60%"
"data science polito",19,"40%"
"data science sapienza",29,"40%"
"sapienza",28,"30%"
"master data science",89,"10%"
"data science unitn",6,"0%"
"data science master",86,"0%"
"data science unisa",4,"-20%"
"master in data science",34,"-50%"
