"query","search interest","increase percent"
"data science unipd",13,"Breakout"
"unito",10,"Breakout"
"r for data science",9,"Breakout"
"indeed",8,"Breakout"
"google scholar",6,"Breakout"
"ecampus",5,"Breakout"
"best colleges for computer science",5,"Breakout"
"data science unitn",2,"Breakout"
"genomic data science",2,"Breakout"
"data science unina",1,"Breakout"
"python data analysis",1,"Breakout"
"almalaurea",1,"Breakout"
"python data science handbook",1,"Breakout"
"overleaf",1,"Breakout"
"econometria",1,"Breakout"
"earth system science data",0,"Breakout"
"what is a data pipeline",0,"3.450%"
"data governance frameworks",0,"2.550%"
"kids science experiments at home",0,"2.400%"
"unipd",17,"250%"
"towards data science",9,"100%"
"sapienza",18,"90%"
"ibm data science",9,"80%"
"unimib",9,"80%"
"data science unisa",7,"70%"
"ibm data science professional certificate",12,"60%"
"data science polito",6,"40%"
"data science sapienza",16,"10%"
"data analyst",17,"10%"
"linkedin",23,"10%"
"data science projects",38,"1%"
"data science master",81,"0%"
"master data science",82,"-2%"
"phd data science",19,"-4%"
"bocconi",5,"-7%"
"data science and management",31,"-10%"
"inpa",6,"-10%"
"data science cos'è",8,"-10%"
"master in data science",40,"-20%"
"msc data science",28,"-20%"
"data science courses",30,"-20%"
"data science internship",14,"-20%"
"machine learning",35,"-20%"
"coursera",7,"-30%"
"data scientist",9,"-30%"
"data science and engineering",19,"-30%"
"data science with python",9,"-40%"
"social data science",39,"-40%"
"what is data science",100,"-40%"
"data science unimib",3,"-60%"
