"query","search interest","increase percent"
"python data science handbook",4,"Breakout"
"ibm data science professional certificate",3,"Breakout"
"kids science experiments at home",2,"Breakout"
"rome business school",2,"Breakout"
"almalaurea",2,"Breakout"
"econometria",2,"Breakout"
"data science unina",1,"Breakout"
"epj data science",0,"3.100%"
"best colleges for computer science",0,"2.700%"
"what is a data pipeline",0,"2.000%"
"data governance frameworks",0,"1.450%"
"data science projects",27,"550%"
"politecnico di milano",5,"180%"
"data science unimib",5,"150%"
"data science cos'è",6,"90%"
"linkedin",16,"80%"
"ibm data science",8,"60%"
"what is data science",100,"60%"
"data science courses",25,"50%"
"data science and management",26,"40%"
"data science and engineering",24,"40%"
"social data science",40,"30%"
"master in data science",34,"20%"
"machine learning",32,"10%"
"data science with python",7,"10%"
"data analyst",10,"10%"
"r for data science",6,"4%"
"data science unitn",3,"3%"
"data science internship",12,"1%"
"business data science",57,"-3%"
"msc data science",24,"-6%"
"data science master",62,"-10%"
"unipd",6,"-10%"
"data science course online",4,"-10%"
"master data science",61,"-20%"
"data science unipd",7,"-20%"
"python for data science",10,"-20%"
"phd data science",13,"-30%"
"data science sapienza",10,"-30%"
"towards data science",3,"-30%"
"bocconi",6,"-30%"
"bicocca",4,"-40%"
"data science polito",6,"-40%"
"sapienza",10,"-40%"
"unito",5,"-40%"
"data scientist",8,"-40%"
"coursera",5,"-70%"
"unimib",1,"-70%"
"genomic data science",1,"-70%"
"python data analysis",0,"-80%"
