query,search interest,increase percent,keyword,query_type,window_days,window_start,window_end,logical_name,source_file,ingested_at
data science courses,17,-50%,data science,top,14,2026-01-23,2026-02-06 08:46:00,top_query_data science_14d,searched_with_top-queries_IT_20260123-0000_20260206-0846.csv,2026-02-06 19:52:47.161183+00:00
data analyst,17,20%,data science,top,14,2026-01-23,2026-02-06 08:46:00,top_query_data science_14d,searched_with_top-queries_IT_20260123-0000_20260206-0846.csv,2026-02-06 19:52:47.161183+00:00
phd data science,16,-7%,data science,top,14,2026-01-23,2026-02-06 08:46:00,top_query_data science_14d,searched_with_top-queries_IT_20260123-0000_20260206-0846.csv,2026-02-06 19:52:47.161183+00:00
data science unipd,16,20%,data science,top,14,2026-01-23,2026-02-06 08:46:00,top_query_data science_14d,searched_with_top-queries_IT_20260123-0000_20260206-0846.csv,2026-02-06 19:52:47.161183+00:00
data scientist,15,20%,data science,top,14,2026-01-23,2026-02-06 08:46:00,top_query_data science_14d,searched_with_top-queries_IT_20260123-0000_20260206-0846.csv,2026-02-06 19:52:47.161183+00:00
data science bicocca,12,40%,data science,top,14,2026-01-23,2026-02-06 08:46:00,top_query_data science_14d,searched_with_top-queries_IT_20260123-0000_20260206-0846.csv,2026-02-06 19:52:47.161183+00:00
unimib,11,Breakout,data science,top,14,2026-01-23,2026-02-06 08:46:00,top_query_data science_14d,searched_with_top-queries_IT_20260123-0000_20260206-0846.csv,2026-02-06 19:52:47.161183+00:00
data science unimib,10,Breakout,data science,top,14,2026-01-23,2026-02-06 08:46:00,top_query_data science_14d,searched_with_top-queries_IT_20260123-0000_20260206-0846.csv,2026-02-06 19:52:47.161183+00:00
r for data science,10,10%,data science,top,14,2026-01-23,2026-02-06 08:46:00,top_query_data science_14d,searched_with_top-queries_IT_20260123-0000_20260206-0846.csv,2026-02-06 19:52:47.161183+00:00
coursera,8,0%,data science,top,14,2026-01-23,2026-02-06 08:46:00,top_query_data science_14d,searched_with_top-queries_IT_20260123-0000_20260206-0846.csv,2026-02-06 19:52:47.161183+00:00
data science cos'è,8,-30%,data science,top,14,2026-01-23,2026-02-06 08:46:00,top_query_data science_14d,searched_with_top-queries_IT_20260123-0000_20260206-0846.csv,2026-02-06 19:52:47.161183+00:00
data science unitn,8,30%,data science,top,14,2026-01-23,2026-02-06 08:46:00,top_query_data science_14d,searched_with_top-queries_IT_20260123-0000_20260206-0846.csv,2026-02-06 19:52:47.161183+00:00
python data analysis,7,Breakout,data science,top,14,2026-01-23,2026-02-06 08:46:00,top_query_data science_14d,searched_with_top-queries_IT_20260123-0000_20260206-0846.csv,2026-02-06 19:52:47.161183+00:00
genomic data science,7,Breakout,data science,top,14,2026-01-23,2026-02-06 08:46:00,top_query_data science_14d,searched_with_top-queries_IT_20260123-0000_20260206-0846.csv,2026-02-06 19:52:47.161183+00:00
data science unisa,6,Breakout,data science,top,14,2026-01-23,2026-02-06 08:46:00,top_query_data science_14d,searched_with_top-queries_IT_20260123-0000_20260206-0846.csv,2026-02-06 19:52:47.161183+00:00
data science unina,5,Breakout,data science,top,14,2026-01-23,2026-02-06 08:46:00,top_query_data science_14d,searched_with_top-queries_IT_20260123-0000_20260206-0846.csv,2026-02-06 19:52:47.161183+00:00
data science with python,5,-50%,data science,top,14,2026-01-23,2026-02-06 08:46:00,top_query_data science_14d,searched_with_top-queries_IT_20260123-0000_20260206-0846.csv,2026-02-06 19:52:47.161183+00:00
data science course online,4,Breakout,data science,top,14,2026-01-23,2026-02-06 08:46:00,top_query_data science_14d,searched_with_top-queries_IT_20260123-0000_20260206-0846.csv,2026-02-06 19:52:47.161183+00:00
towards data science,3,Breakout,data science,top,14,2026-01-23,2026-02-06 08:46:00,top_query_data science_14d,searched_with_top-queries_IT_20260123-0000_20260206-0846.csv,2026-02-06 19:52:47.161183+00:00
almalaurea,3,Breakout,data science,top,14,2026-01-23,2026-02-06 08:46:00,top_query_data science_14d,searched_with_top-queries_IT_20260123-0000_20260206-0846.csv,2026-02-06 19:52:47.161183+00:00
ibm data science professional certificate,2,Breakout,data science,top,14,2026-01-23,2026-02-06 08:46:00,top_query_data science_14d,searched_with_top-queries_IT_20260123-0000_20260206-0846.csv,2026-02-06 19:52:47.161183+00:00
epj data science,2,Breakout,data science,top,14,2026-01-23,2026-02-06 08:46:00,top_query_data science_14d,searched_with_top-queries_IT_20260123-0000_20260206-0846.csv,2026-02-06 19:52:47.161183+00:00
data quality management,2,Breakout,data science,top,14,2026-01-23,2026-02-06 08:46:00,top_query_data science_14d,searched_with_top-queries_IT_20260123-0000_20260206-0846.csv,2026-02-06 19:52:47.161183+00:00
python data science handbook,2,Breakout,data science,top,14,2026-01-23,2026-02-06 08:46:00,top_query_data science_14d,searched_with_top-queries_IT_20260123-0000_20260206-0846.csv,2026-02-06 19:52:47.161183+00:00
kids science experiments at home,2,Breakout,data science,top,14,2026-01-23,2026-02-06 08:46:00,top_query_data science_14d,searched_with_top-queries_IT_20260123-0000_20260206-0846.csv,2026-02-06 19:52:47.161183+00:00
what is a data pipeline,1,Breakout,data science,top,14,2026-01-23,2026-02-06 08:46:00,top_query_data science_14d,searched_with_top-queries_IT_20260123-0000_20260206-0846.csv,2026-02-06 19:52:47.161183+00:00
data governance frameworks,1,Breakout,data science,top,14,2026-01-23,2026-02-06 08:46:00,top_query_data science_14d,searched_with_top-queries_IT_20260123-0000_20260206-0846.csv,2026-02-06 19:52:47.161183+00:00
