query,search interest,increase percent,keyword,query_type,window_days,window_start,window_end,logical_name,source_file,ingested_at
coursera,7,-30%,data science,rising,30,2026-01-07,2026-02-06 08:46:00,rising_query_data science_30d,searched_with_rising-queries_IT_20260107-0000_20260206-0846.csv,2026-02-06 19:52:47.160472+00:00
data scientist,9,-30%,data science,rising,30,2026-01-07,2026-02-06 08:46:00,rising_query_data science_30d,searched_with_rising-queries_IT_20260107-0000_20260206-0846.csv,2026-02-06 19:52:47.160472+00:00
data science and engineering,19,-30%,data science,rising,30,2026-01-07,2026-02-06 08:46:00,rising_query_data science_30d,searched_with_rising-queries_IT_20260107-0000_20260206-0846.csv,2026-02-06 19:52:47.160472+00:00
data science with python,9,-40%,data science,rising,30,2026-01-07,2026-02-06 08:46:00,rising_query_data science_30d,searched_with_rising-queries_IT_20260107-0000_20260206-0846.csv,2026-02-06 19:52:47.160472+00:00
social data science,39,-40%,data science,rising,30,2026-01-07,2026-02-06 08:46:00,rising_query_data science_30d,searched_with_rising-queries_IT_20260107-0000_20260206-0846.csv,2026-02-06 19:52:47.160472+00:00
what is data science,100,-40%,data science,rising,30,2026-01-07,2026-02-06 08:46:00,rising_query_data science_30d,searched_with_rising-queries_IT_20260107-0000_20260206-0846.csv,2026-02-06 19:52:47.160472+00:00
data science unimib,3,-60%,data science,rising,30,2026-01-07,2026-02-06 08:46:00,rising_query_data science_30d,searched_with_rising-queries_IT_20260107-0000_20260206-0846.csv,2026-02-06 19:52:47.160472+00:00
best colleges for computer science,2,Breakout,data science,rising,7,2026-01-30,2026-02-06 08:46:00,rising_query_data science_7d,searched_with_rising-queries_IT_20260130-0000_20260206-0846.csv,2026-02-06 19:52:47.161880+00:00
kids science experiments at home,2,Breakout,data science,rising,7,2026-01-30,2026-02-06 08:46:00,rising_query_data science_7d,searched_with_rising-queries_IT_20260130-0000_20260206-0846.csv,2026-02-06 19:52:47.161880+00:00
genomic data science,9,450%,data science,rising,7,2026-01-30,2026-02-06 08:46:00,rising_query_data science_7d,searched_with_rising-queries_IT_20260130-0000_20260206-0846.csv,2026-02-06 19:52:47.161880+00:00
data science projects,100,450%,data science,rising,7,2026-01-30,2026-02-06 08:46:00,rising_query_data science_7d,searched_with_rising-queries_IT_20260130-0000_20260206-0846.csv,2026-02-06 19:52:47.161880+00:00
ibm data science professional certificate,3,250%,data science,rising,7,2026-01-30,2026-02-06 08:46:00,rising_query_data science_7d,searched_with_rising-queries_IT_20260130-0000_20260206-0846.csv,2026-02-06 19:52:47.161880+00:00
r for data science,9,110%,data science,rising,7,2026-01-30,2026-02-06 08:46:00,rising_query_data science_7d,searched_with_rising-queries_IT_20260130-0000_20260206-0846.csv,2026-02-06 19:52:47.161880+00:00
data science unipd,13,70%,data science,rising,7,2026-01-30,2026-02-06 08:46:00,rising_query_data science_7d,searched_with_rising-queries_IT_20260130-0000_20260206-0846.csv,2026-02-06 19:52:47.161880+00:00
machine learning,28,60%,data science,rising,7,2026-01-30,2026-02-06 08:46:00,rising_query_data science_7d,searched_with_rising-queries_IT_20260130-0000_20260206-0846.csv,2026-02-06 19:52:47.161880+00:00
data science cos'è,6,60%,data science,rising,7,2026-01-30,2026-02-06 08:46:00,rising_query_data science_7d,searched_with_rising-queries_IT_20260130-0000_20260206-0846.csv,2026-02-06 19:52:47.161880+00:00
data science polito,19,40%,data science,rising,7,2026-01-30,2026-02-06 08:46:00,rising_query_data science_7d,searched_with_rising-queries_IT_20260130-0000_20260206-0846.csv,2026-02-06 19:52:47.161880+00:00
data science sapienza,29,40%,data science,rising,7,2026-01-30,2026-02-06 08:46:00,rising_query_data science_7d,searched_with_rising-queries_IT_20260130-0000_20260206-0846.csv,2026-02-06 19:52:47.161880+00:00
sapienza,28,30%,data science,rising,7,2026-01-30,2026-02-06 08:46:00,rising_query_data science_7d,searched_with_rising-queries_IT_20260130-0000_20260206-0846.csv,2026-02-06 19:52:47.161880+00:00
master data science,89,10%,data science,rising,7,2026-01-30,2026-02-06 08:46:00,rising_query_data science_7d,searched_with_rising-queries_IT_20260130-0000_20260206-0846.csv,2026-02-06 19:52:47.161880+00:00
data science unitn,6,0%,data science,rising,7,2026-01-30,2026-02-06 08:46:00,rising_query_data science_7d,searched_with_rising-queries_IT_20260130-0000_20260206-0846.csv,2026-02-06 19:52:47.161880+00:00
data science master,86,0%,data science,rising,7,2026-01-30,2026-02-06 08:46:00,rising_query_data science_7d,searched_with_rising-queries_IT_20260130-0000_20260206-0846.csv,2026-02-06 19:52:47.161880+00:00
data science unisa,4,-20%,data science,rising,7,2026-01-30,2026-02-06 08:46:00,rising_query_data science_7d,searched_with_rising-queries_IT_20260130-0000_20260206-0846.csv,2026-02-06 19:52:47.161880+00:00
master in data science,34,-50%,data science,rising,7,2026-01-30,2026-02-06 08:46:00,rising_query_data science_7d,searched_with_rising-queries_IT_20260130-0000_20260206-0846.csv,2026-02-06 19:52:47.161880+00:00
