query,search interest,increase percent,keyword,query_type,window_days,window_start,window_end,logical_name,source_file,ingested_at
msc data science,24,-6%,data science,rising,60,2025-12-08,2026-02-06 08:47:00,rising_query_data science_60d,searched_with_rising-queries_IT_20251208-0000_20260206-0847.csv,2026-02-06 19:52:47.157933+00:00
data science master,62,-10%,data science,rising,60,2025-12-08,2026-02-06 08:47:00,rising_query_data science_60d,searched_with_rising-queries_IT_20251208-0000_20260206-0847.csv,2026-02-06 19:52:47.157933+00:00
unipd,6,-10%,data science,rising,60,2025-12-08,2026-02-06 08:47:00,rising_query_data science_60d,searched_with_rising-queries_IT_20251208-0000_20260206-0847.csv,2026-02-06 19:52:47.157933+00:00
data science course online,4,-10%,data science,rising,60,2025-12-08,2026-02-06 08:47:00,rising_query_data science_60d,searched_with_rising-queries_IT_20251208-0000_20260206-0847.csv,2026-02-06 19:52:47.157933+00:00
master data science,61,-20%,data science,rising,60,2025-12-08,2026-02-06 08:47:00,rising_query_data science_60d,searched_with_rising-queries_IT_20251208-0000_20260206-0847.csv,2026-02-06 19:52:47.157933+00:00
data science unipd,7,-20%,data science,rising,60,2025-12-08,2026-02-06 08:47:00,rising_query_data science_60d,searched_with_rising-queries_IT_20251208-0000_20260206-0847.csv,2026-02-06 19:52:47.157933+00:00
python for data science,10,-20%,data science,rising,60,2025-12-08,2026-02-06 08:47:00,rising_query_data science_60d,searched_with_rising-queries_IT_20251208-0000_20260206-0847.csv,2026-02-06 19:52:47.157933+00:00
phd data science,13,-30%,data science,rising,60,2025-12-08,2026-02-06 08:47:00,rising_query_data science_60d,searched_with_rising-queries_IT_20251208-0000_20260206-0847.csv,2026-02-06 19:52:47.157933+00:00
data science sapienza,10,-30%,data science,rising,60,2025-12-08,2026-02-06 08:47:00,rising_query_data science_60d,searched_with_rising-queries_IT_20251208-0000_20260206-0847.csv,2026-02-06 19:52:47.157933+00:00
towards data science,3,-30%,data science,rising,60,2025-12-08,2026-02-06 08:47:00,rising_query_data science_60d,searched_with_rising-queries_IT_20251208-0000_20260206-0847.csv,2026-02-06 19:52:47.157933+00:00
bocconi,6,-30%,data science,rising,60,2025-12-08,2026-02-06 08:47:00,rising_query_data science_60d,searched_with_rising-queries_IT_20251208-0000_20260206-0847.csv,2026-02-06 19:52:47.157933+00:00
bicocca,4,-40%,data science,rising,60,2025-12-08,2026-02-06 08:47:00,rising_query_data science_60d,searched_with_rising-queries_IT_20251208-0000_20260206-0847.csv,2026-02-06 19:52:47.157933+00:00
data science polito,6,-40%,data science,rising,60,2025-12-08,2026-02-06 08:47:00,rising_query_data science_60d,searched_with_rising-queries_IT_20251208-0000_20260206-0847.csv,2026-02-06 19:52:47.157933+00:00
sapienza,10,-40%,data science,rising,60,2025-12-08,2026-02-06 08:47:00,rising_query_data science_60d,searched_with_rising-queries_IT_20251208-0000_20260206-0847.csv,2026-02-06 19:52:47.157933+00:00
unito,5,-40%,data science,rising,60,2025-12-08,2026-02-06 08:47:00,rising_query_data science_60d,searched_with_rising-queries_IT_20251208-0000_20260206-0847.csv,2026-02-06 19:52:47.157933+00:00
data scientist,8,-40%,data science,rising,60,2025-12-08,2026-02-06 08:47:00,rising_query_data science_60d,searched_with_rising-queries_IT_20251208-0000_20260206-0847.csv,2026-02-06 19:52:47.157933+00:00
coursera,5,-70%,data science,rising,60,2025-12-08,2026-02-06 08:47:00,rising_query_data science_60d,searched_with_rising-queries_IT_20251208-0000_20260206-0847.csv,2026-02-06 19:52:47.157933+00:00
unimib,1,-70%,data science,rising,60,2025-12-08,2026-02-06 08:47:00,rising_query_data science_60d,searched_with_rising-queries_IT_20251208-0000_20260206-0847.csv,2026-02-06 19:52:47.157933+00:00
genomic data science,1,-70%,data science,rising,60,2025-12-08,2026-02-06 08:47:00,rising_query_data science_60d,searched_with_rising-queries_IT_20251208-0000_20260206-0847.csv,2026-02-06 19:52:47.157933+00:00
python data analysis,0,-80%,data science,rising,60,2025-12-08,2026-02-06 08:47:00,rising_query_data science_60d,searched_with_rising-queries_IT_20251208-0000_20260206-0847.csv,2026-02-06 19:52:47.157933+00:00
munich data science institute,28,Breakout,data science,rising,14,2026-01-23,2026-02-06 08:46:00,rising_query_data science_14d,searched_with_rising-queries_IT_20260123-0000_20260206-0846.csv,2026-02-06 19:52:47.159732+00:00
moodle,23,Breakout,data science,rising,14,2026-01-23,2026-02-06 08:46:00,rising_query_data science_14d,searched_with_rising-queries_IT_20260123-0000_20260206-0846.csv,2026-02-06 19:52:47.159732+00:00
bocconi,17,Breakout,data science,rising,14,2026-01-23,2026-02-06 08:46:00,rising_query_data science_14d,searched_with_rising-queries_IT_20260123-0000_20260206-0846.csv,2026-02-06 19:52:47.159732+00:00
unimib,11,Breakout,data science,rising,14,2026-01-23,2026-02-06 08:46:00,rising_query_data science_14d,searched_with_rising-queries_IT_20260123-0000_20260206-0846.csv,2026-02-06 19:52:47.159732+00:00
data science unimib,10,Breakout,data science,rising,14,2026-01-23,2026-02-06 08:46:00,rising_query_data science_14d,searched_with_rising-queries_IT_20260123-0000_20260206-0846.csv,2026-02-06 19:52:47.159732+00:00
python data analysis,7,Breakout,data science,rising,14,2026-01-23,2026-02-06 08:46:00,rising_query_data science_14d,searched_with_rising-queries_IT_20260123-0000_20260206-0846.csv,2026-02-06 19:52:47.159732+00:00
genomic data science,7,Breakout,data science,rising,14,2026-01-23,2026-02-06 08:46:00,rising_query_data science_14d,searched_with_rising-queries_IT_20260123-0000_20260206-0846.csv,2026-02-06 19:52:47.159732+00:00
data science unisa,6,Breakout,data science,rising,14,2026-01-23,2026-02-06 08:46:00,rising_query_data science_14d,searched_with_rising-queries_IT_20260123-0000_20260206-0846.csv,2026-02-06 19:52:47.159732+00:00
data science unina,5,Breakout,data science,rising,14,2026-01-23,2026-02-06 08:46:00,rising_query_data science_14d,searched_with_rising-queries_IT_20260123-0000_20260206-0846.csv,2026-02-06 19:52:47.159732+00:00
data science course online,4,Breakout,data science,rising,14,2026-01-23,2026-02-06 08:46:00,rising_query_data science_14d,searched_with_rising-queries_IT_20260123-0000_20260206-0846.csv,2026-02-06 19:52:47.159732+00:00
towards data science,3,Breakout,data science,rising,14,2026-01-23,2026-02-06 08:46:00,rising_query_data science_14d,searched_with_rising-queries_IT_20260123-0000_20260206-0846.csv,2026-02-06 19:52:47.159732+00:00
almalaurea,3,Breakout,data science,rising,14,2026-01-23,2026-02-06 08:46:00,rising_query_data science_14d,searched_with_rising-queries_IT_20260123-0000_20260206-0846.csv,2026-02-06 19:52:47.159732+00:00
ibm data science professional certificate,2,Breakout,data science,rising,14,2026-01-23,2026-02-06 08:46:00,rising_query_data science_14d,searched_with_rising-queries_IT_20260123-0000_20260206-0846.csv,2026-02-06 19:52:47.159732+00:00
epj data science,2,Breakout,data science,rising,14,2026-01-23,2026-02-06 08:46:00,rising_query_data science_14d,searched_with_rising-queries_IT_20260123-0000_20260206-0846.csv,2026-02-06 19:52:47.159732+00:00
data quality management,2,Breakout,data science,rising,14,2026-01-23,2026-02-06 08:46:00,rising_query_data science_14d,searched_with_rising-queries_IT_20260123-0000_20260206-0846.csv,2026-02-06 19:52:47.159732+00:00
python data science handbook,2,Breakout,data science,rising,14,2026-01-23,2026-02-06 08:46:00,rising_query_data science_14d,searched_with_rising-queries_IT_20260123-0000_20260206-0846.csv,2026-02-06 19:52:47.159732+00:00
kids science experiments at home,2,Breakout,data science,rising,14,2026-01-23,2026-02-06 08:46:00,rising_query_data science_14d,searched_with_rising-queries_IT_20260123-0000_20260206-0846.csv,2026-02-06 19:52:47.159732+00:00
what is a data pipeline,1,Breakout,data science,rising,14,2026-01-23,2026-02-06 08:46:00,rising_query_data science_14d,searched_with_rising-queries_IT_20260123-0000_20260206-0846.csv,2026-02-06 19:52:47.159732+00:00
