day_name,Type,view_count
Friday,Reels,147.5
Friday,Videos,183.0
Monday,Reels,299.0
Monday,Videos,182.0
Saturday,Reels,300.0
Saturday,Videos,191.0
Sunday,Reels,330.5
Sunday,Videos,162.0
Thursday,Reels,206.0
Thursday,Videos,213.5
Tuesday,Reels,295.5
Tuesday,Videos,205.0
Wednesday,Reels,243.5
Wednesday,Videos,174.0
